scenario,rank_bucket,rank_bucket_label,rank_bucket_order,trial_count,origin_delay,neighbor_es_availability,zipf_alpha,neighbor_cache_hot_prob,neighbor_cache_cold_prob,neighbor_cache_rank_gamma,request_count_mean,request_count_std,request_count_stderr,request_count_ci95_low,request_count_ci95_high,local_failure_count_mean,local_failure_count_std,local_failure_count_stderr,local_failure_count_ci95_low,local_failure_count_ci95_high,neighbor_attempt_count_mean,neighbor_attempt_count_std,neighbor_attempt_count_stderr,neighbor_attempt_count_ci95_low,neighbor_attempt_count_ci95_high,neighbor_failure_count_mean,neighbor_failure_count_std,neighbor_failure_count_stderr,neighbor_failure_count_ci95_low,neighbor_failure_count_ci95_high,origin_use_count_mean,origin_use_count_std,origin_use_count_stderr,origin_use_count_ci95_low,origin_use_count_ci95_high,b2_neighbor_choice_count_mean,b2_neighbor_choice_count_std,b2_neighbor_choice_count_stderr,b2_neighbor_choice_count_ci95_low,b2_neighbor_choice_count_ci95_high,b2_neighbor_choice_rate_mean,b2_neighbor_choice_rate_std,b2_neighbor_choice_rate_stderr,b2_neighbor_choice_rate_ci95_low,b2_neighbor_choice_rate_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high
rank_bucket_b2_decision,hot,hot (top 5%),0,10,80.0,0.55,1.1,0.9,0.15,1.0,6421.2,55.531373,17.560562,6386.781299,6455.618701,2898.8,51.555364,16.303238,2866.845654,2930.754346,1977.7,40.188583,12.708746,1952.790858,2002.609142,457.3,20.758131,6.564297,444.433977,470.166023,1378.4,39.508649,12.493732,1353.912286,1402.887714,1977.7,40.188583,12.708746,1952.790858,2002.609142,0.682254,0.00746,0.002359,0.677631,0.686878,0.78535,0.005272,0.001667,0.782082,0.788617,0.231235,0.009576,0.003028,0.225299,0.23717,50.81936,0.456731,0.144431,50.536275,51.102445
rank_bucket_b2_decision,mid,mid (5-20%),1,10,80.0,0.55,1.1,0.9,0.15,1.0,1766.1,45.187142,14.289429,1738.092719,1794.107281,780.8,34.742865,10.986659,759.266149,802.333851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.8,34.742865,10.986659,759.266149,802.333851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558013,0.012153,0.003843,0.550481,0.565546,0.0,0.0,0.0,0.0,0.0,55.716777,0.899834,0.284553,55.159054,56.2745
rank_bucket_b2_decision,cold,cold (20-100%),2,10,80.0,0.55,1.1,0.9,0.15,1.0,1812.7,40.263162,12.73233,1787.744634,1837.655366,827.3,30.125847,9.526629,808.627806,845.972194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.3,30.125847,9.526629,808.627806,845.972194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543597,0.013421,0.004244,0.535279,0.551916,0.0,0.0,0.0,0.0,0.0,56.777483,0.958971,0.303253,56.183107,57.37186
