scenario,policy,mean_response_time,p95_response_time,origin_free_rate,neighbor_failure_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,trial_index,trial_seed,sweep_name,sweep_value
low_reliability_neighbor,B0,100.421,201.243,0.555,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,101.623,201.252,0.5483,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,9,20270534,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,107.957,229.174,0.5894,0.8949,1.1,0.82,0.82,0.25,180.0,3,5,3,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,106.334,228.911,0.5974,0.8931,1.1,0.82,0.82,0.25,180.0,3,5,3,1,20270526,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,105.128,229.109,0.6027,0.9001,1.1,0.82,0.82,0.25,180.0,3,5,3,2,20270527,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,106.225,228.999,0.5974,0.8991,1.1,0.82,0.82,0.25,180.0,3,5,3,3,20270528,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,104.701,228.72,0.6045,0.9011,1.1,0.82,0.82,0.25,180.0,3,5,3,4,20270529,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,106.519,229.348,0.5957,0.9057,1.1,0.82,0.82,0.25,180.0,3,5,3,5,20270530,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,108.807,229.108,0.5856,0.8904,1.1,0.82,0.82,0.25,180.0,3,5,3,6,20270531,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,106.047,228.805,0.5984,0.8962,1.1,0.82,0.82,0.25,180.0,3,5,3,7,20270532,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,107.72,229.021,0.5906,0.8956,1.1,0.82,0.82,0.25,180.0,3,5,3,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,106.155,229.019,0.5973,0.9015,1.1,0.82,0.82,0.25,180.0,3,5,3,9,20270534,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,101.736,201.387,0.5476,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,99.262,201.451,0.5619,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,1,20270526,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,99.757,201.311,0.5589,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,2,20270527,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,99.807,201.407,0.5585,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,3,20270528,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,102.083,201.331,0.5458,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,4,20270529,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,102.059,201.498,0.5457,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,5,20270530,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,100.421,201.243,0.555,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,6,20270531,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,101.623,201.252,0.5483,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,7,20270532,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,100.35,201.387,0.5554,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B2,100.793,201.5,0.5532,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,9,20270534,formal_scenario,low_reliability_neighbor
origin_congestion,B0,161.99,341.163,0.5573,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,0,20280525,formal_scenario,origin_congestion
origin_congestion,B0,163.154,341.361,0.5535,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,1,20280526,formal_scenario,origin_congestion
origin_congestion,B0,163.735,341.371,0.5518,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,2,20280527,formal_scenario,origin_congestion
origin_congestion,B0,165.974,341.596,0.5447,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,3,20280528,formal_scenario,origin_congestion
origin_congestion,B0,164.918,341.458,0.5481,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,4,20280529,formal_scenario,origin_congestion
origin_congestion,B0,164.167,341.347,0.5504,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,5,20280530,formal_scenario,origin_congestion
origin_congestion,B0,164.608,341.536,0.5492,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,6,20280531,formal_scenario,origin_congestion
origin_congestion,B0,162.3,341.491,0.5564,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,7,20280532,formal_scenario,origin_congestion
origin_congestion,B0,162.512,341.25,0.5555,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,8,20280533,formal_scenario,origin_congestion
origin_congestion,B0,162.881,341.351,0.5544,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,9,20280534,formal_scenario,origin_congestion
origin_congestion,B1,48.413,70.746,0.979,0.0459,1.1,0.82,0.82,0.82,320.0,3,5,3,0,20280525,formal_scenario,origin_congestion
origin_congestion,B1,47.538,70.657,0.9811,0.042,1.1,0.82,0.82,0.82,320.0,3,5,3,1,20280526,formal_scenario,origin_congestion
origin_congestion,B1,47.749,70.879,0.9808,0.0425,1.1,0.82,0.82,0.82,320.0,3,5,3,2,20280527,formal_scenario,origin_congestion
origin_congestion,B1,48.012,70.936,0.9786,0.0484,1.1,0.82,0.82,0.82,320.0,3,5,3,3,20280528,formal_scenario,origin_congestion
origin_congestion,B1,47.834,70.797,0.9808,0.0422,1.1,0.82,0.82,0.82,320.0,3,5,3,4,20280529,formal_scenario,origin_congestion
origin_congestion,B1,47.976,70.996,0.979,0.0472,1.1,0.82,0.82,0.82,320.0,3,5,3,5,20280530,formal_scenario,origin_congestion
origin_congestion,B1,47.691,70.45,0.9804,0.0437,1.1,0.82,0.82,0.82,320.0,3,5,3,6,20280531,formal_scenario,origin_congestion
origin_congestion,B1,47.305,70.582,0.9824,0.0388,1.1,0.82,0.82,0.82,320.0,3,5,3,7,20280532,formal_scenario,origin_congestion
origin_congestion,B1,47.137,70.657,0.9819,0.0406,1.1,0.82,0.82,0.82,320.0,3,5,3,8,20280533,formal_scenario,origin_congestion
origin_congestion,B1,47.188,70.655,0.9819,0.0405,1.1,0.82,0.82,0.82,320.0,3,5,3,9,20280534,formal_scenario,origin_congestion
