scenario,policy,mean_response_time,p95_response_time,origin_free_rate,neighbor_failure_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,trial_index,trial_seed,sweep_name,sweep_value
origin_delay_repeated,B2,38.432,61.301,0.5456,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,5,20260930,origin_delay,40.0
origin_delay_repeated,B0,38.118,61.469,0.5547,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,6,20260931,origin_delay,40.0
origin_delay_repeated,B1,42.368,70.685,0.9824,0.0389,1.1,0.82,0.82,0.82,40.0,3,5,3,6,20260931,origin_delay,40.0
origin_delay_repeated,B2,38.098,61.241,0.5575,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,6,20260931,origin_delay,40.0
origin_delay_repeated,B0,38.432,61.301,0.5456,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,7,20260932,origin_delay,40.0
origin_delay_repeated,B1,42.068,70.822,0.9808,0.0431,1.1,0.82,0.82,0.82,40.0,3,5,3,7,20260932,origin_delay,40.0
origin_delay_repeated,B2,38.087,61.142,0.5548,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,7,20260932,origin_delay,40.0
origin_delay_repeated,B0,38.098,61.241,0.5575,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,8,20260933,origin_delay,40.0
origin_delay_repeated,B1,42.189,70.85,0.9791,0.0468,1.1,0.82,0.82,0.82,40.0,3,5,3,8,20260933,origin_delay,40.0
origin_delay_repeated,B2,38.09,61.443,0.5565,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,8,20260933,origin_delay,40.0
origin_delay_repeated,B0,38.087,61.142,0.5548,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,9,20260934,origin_delay,40.0
origin_delay_repeated,B1,42.088,70.809,0.9805,0.0439,1.1,0.82,0.82,0.82,40.0,3,5,3,9,20260934,origin_delay,40.0
origin_delay_repeated,B2,38.266,61.466,0.5512,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,9,20260934,origin_delay,40.0
origin_delay_repeated,B0,56.429,101.406,0.5478,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,0,20261325,origin_delay,80.0
origin_delay_repeated,B1,42.859,70.541,0.982,0.0403,1.1,0.82,0.82,0.82,80.0,3,5,3,0,20261325,origin_delay,80.0
origin_delay_repeated,B2,43.053,70.781,0.9806,0.0432,1.1,0.82,0.82,0.82,80.0,3,5,3,0,20261325,origin_delay,80.0
origin_delay_repeated,B0,56.079,101.143,0.5528,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,1,20261326,origin_delay,80.0
origin_delay_repeated,B1,43.053,70.781,0.9806,0.0432,1.1,0.82,0.82,0.82,80.0,3,5,3,1,20261326,origin_delay,80.0
origin_delay_repeated,B2,43.169,71.03,0.9803,0.0436,1.1,0.82,0.82,0.82,80.0,3,5,3,1,20261326,origin_delay,80.0
origin_delay_repeated,B0,56.672,101.499,0.5456,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,2,20261327,origin_delay,80.0
origin_delay_repeated,B1,43.169,71.03,0.9803,0.0436,1.1,0.82,0.82,0.82,80.0,3,5,3,2,20261327,origin_delay,80.0
origin_delay_repeated,B2,43.288,71.123,0.9786,0.0474,1.1,0.82,0.82,0.82,80.0,3,5,3,2,20261327,origin_delay,80.0
origin_delay_repeated,B0,56.4,101.153,0.5479,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,3,20261328,origin_delay,80.0
origin_delay_repeated,B1,43.288,71.123,0.9786,0.0474,1.1,0.82,0.82,0.82,80.0,3,5,3,3,20261328,origin_delay,80.0
origin_delay_repeated,B2,43.116,71.018,0.9816,0.0407,1.1,0.82,0.82,0.82,80.0,3,5,3,3,20261328,origin_delay,80.0
origin_delay_repeated,B0,56.429,101.41,0.5487,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,4,20261329,origin_delay,80.0
origin_delay_repeated,B1,43.116,71.018,0.9816,0.0407,1.1,0.82,0.82,0.82,80.0,3,5,3,4,20261329,origin_delay,80.0
origin_delay_repeated,B2,43.347,70.957,0.9792,0.0457,1.1,0.82,0.82,0.82,80.0,3,5,3,4,20261329,origin_delay,80.0
origin_delay_repeated,B0,56.077,101.442,0.553,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,5,20261330,origin_delay,80.0
origin_delay_repeated,B1,43.347,70.957,0.9792,0.0457,1.1,0.82,0.82,0.82,80.0,3,5,3,5,20261330,origin_delay,80.0
origin_delay_repeated,B2,42.894,70.875,0.9809,0.0428,1.1,0.82,0.82,0.82,80.0,3,5,3,5,20261330,origin_delay,80.0
origin_delay_repeated,B0,57.131,101.755,0.54,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,6,20261331,origin_delay,80.0
origin_delay_repeated,B1,42.894,70.875,0.9809,0.0428,1.1,0.82,0.82,0.82,80.0,3,5,3,6,20261331,origin_delay,80.0
origin_delay_repeated,B2,43.261,70.565,0.9805,0.0429,1.1,0.82,0.82,0.82,80.0,3,5,3,6,20261331,origin_delay,80.0
origin_delay_repeated,B0,56.015,101.397,0.5531,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,7,20261332,origin_delay,80.0
origin_delay_repeated,B1,43.261,70.565,0.9805,0.0429,1.1,0.82,0.82,0.82,80.0,3,5,3,7,20261332,origin_delay,80.0
origin_delay_repeated,B2,42.757,70.811,0.9834,0.0372,1.1,0.82,0.82,0.82,80.0,3,5,3,7,20261332,origin_delay,80.0
origin_delay_repeated,B0,56.696,101.524,0.5453,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,8,20261333,origin_delay,80.0
origin_delay_repeated,B1,42.757,70.811,0.9834,0.0372,1.1,0.82,0.82,0.82,80.0,3,5,3,8,20261333,origin_delay,80.0
origin_delay_repeated,B2,42.813,70.672,0.982,0.0404,1.1,0.82,0.82,0.82,80.0,3,5,3,8,20261333,origin_delay,80.0
origin_delay_repeated,B0,56.354,101.379,0.5489,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,9,20261334,origin_delay,80.0
origin_delay_repeated,B1,42.813,70.672,0.982,0.0404,1.1,0.82,0.82,0.82,80.0,3,5,3,9,20261334,origin_delay,80.0
origin_delay_repeated,B2,43.168,70.567,0.9812,0.0414,1.1,0.82,0.82,0.82,80.0,3,5,3,9,20261334,origin_delay,80.0
origin_delay_repeated,B0,74.157,141.314,0.5511,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,0,20261725,origin_delay,120.0
origin_delay_repeated,B1,44.026,71.087,0.9797,0.0449,1.1,0.82,0.82,0.82,120.0,3,5,3,0,20261725,origin_delay,120.0
origin_delay_repeated,B2,43.635,70.691,0.9809,0.0428,1.1,0.82,0.82,0.82,120.0,3,5,3,0,20261725,origin_delay,120.0
origin_delay_repeated,B0,73.731,141.125,0.5545,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,1,20261726,origin_delay,120.0
origin_delay_repeated,B1,43.635,70.691,0.9809,0.0428,1.1,0.82,0.82,0.82,120.0,3,5,3,1,20261726,origin_delay,120.0
origin_delay_repeated,B2,43.944,70.666,0.9784,0.0482,1.1,0.82,0.82,0.82,120.0,3,5,3,1,20261726,origin_delay,120.0
origin_delay_repeated,B0,74.494,141.392,0.5485,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,2,20261727,origin_delay,120.0
origin_delay_repeated,B1,43.944,70.666,0.9784,0.0482,1.1,0.82,0.82,0.82,120.0,3,5,3,2,20261727,origin_delay,120.0
origin_delay_repeated,B2,43.519,70.233,0.9824,0.0394,1.1,0.82,0.82,0.82,120.0,3,5,3,2,20261727,origin_delay,120.0
origin_delay_repeated,B0,74.037,141.303,0.5524,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,3,20261728,origin_delay,120.0
origin_delay_repeated,B1,43.519,70.233,0.9824,0.0394,1.1,0.82,0.82,0.82,120.0,3,5,3,3,20261728,origin_delay,120.0
origin_delay_repeated,B2,43.667,70.94,0.9809,0.0428,1.1,0.82,0.82,0.82,120.0,3,5,3,3,20261728,origin_delay,120.0
origin_delay_repeated,B0,74.023,141.37,0.5531,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,4,20261729,origin_delay,120.0
origin_delay_repeated,B1,43.667,70.94,0.9809,0.0428,1.1,0.82,0.82,0.82,120.0,3,5,3,4,20261729,origin_delay,120.0
origin_delay_repeated,B2,43.421,70.336,0.9818,0.0412,1.1,0.82,0.82,0.82,120.0,3,5,3,4,20261729,origin_delay,120.0
origin_delay_repeated,B0,74.751,141.32,0.5457,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,5,20261730,origin_delay,120.0
origin_delay_repeated,B1,43.421,70.336,0.9818,0.0412,1.1,0.82,0.82,0.82,120.0,3,5,3,5,20261730,origin_delay,120.0
origin_delay_repeated,B2,43.635,70.92,0.9788,0.048,1.1,0.82,0.82,0.82,120.0,3,5,3,5,20261730,origin_delay,120.0
origin_delay_repeated,B0,74.482,141.327,0.5485,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,6,20261731,origin_delay,120.0
origin_delay_repeated,B1,43.635,70.92,0.9788,0.048,1.1,0.82,0.82,0.82,120.0,3,5,3,6,20261731,origin_delay,120.0
origin_delay_repeated,B2,43.867,71.019,0.9791,0.0468,1.1,0.82,0.82,0.82,120.0,3,5,3,6,20261731,origin_delay,120.0
origin_delay_repeated,B0,73.911,141.302,0.5537,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,7,20261732,origin_delay,120.0
origin_delay_repeated,B1,43.867,71.019,0.9791,0.0468,1.1,0.82,0.82,0.82,120.0,3,5,3,7,20261732,origin_delay,120.0
origin_delay_repeated,B2,43.699,70.916,0.9819,0.0403,1.1,0.82,0.82,0.82,120.0,3,5,3,7,20261732,origin_delay,120.0
origin_delay_repeated,B0,73.797,141.157,0.5545,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,8,20261733,origin_delay,120.0
origin_delay_repeated,B1,43.699,70.916,0.9819,0.0403,1.1,0.82,0.82,0.82,120.0,3,5,3,8,20261733,origin_delay,120.0
origin_delay_repeated,B2,44.042,70.929,0.9799,0.0444,1.1,0.82,0.82,0.82,120.0,3,5,3,8,20261733,origin_delay,120.0
origin_delay_repeated,B0,74.628,141.395,0.5471,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,9,20261734,origin_delay,120.0
origin_delay_repeated,B1,44.042,70.929,0.9799,0.0444,1.1,0.82,0.82,0.82,120.0,3,5,3,9,20261734,origin_delay,120.0
origin_delay_repeated,B2,43.785,70.752,0.9819,0.0399,1.1,0.82,0.82,0.82,120.0,3,5,3,9,20261734,origin_delay,120.0
origin_delay_repeated,B0,100.969,201.577,0.5524,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20262325,origin_delay,180.0
origin_delay_repeated,B1,44.643,70.656,0.9805,0.0442,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20262325,origin_delay,180.0
origin_delay_repeated,B2,45.078,70.949,0.9826,0.0379,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20262325,origin_delay,180.0
origin_delay_repeated,B0,100.698,201.412,0.5534,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20262326,origin_delay,180.0
origin_delay_repeated,B1,45.078,70.949,0.9826,0.0379,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20262326,origin_delay,180.0
origin_delay_repeated,B2,45.132,70.94,0.9794,0.046,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20262326,origin_delay,180.0
origin_delay_repeated,B0,100.858,201.295,0.5523,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20262327,origin_delay,180.0
origin_delay_repeated,B1,45.132,70.94,0.9794,0.046,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20262327,origin_delay,180.0
origin_delay_repeated,B2,45.062,70.715,0.981,0.042,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20262327,origin_delay,180.0
origin_delay_repeated,B0,100.32,201.265,0.5553,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20262328,origin_delay,180.0
origin_delay_repeated,B1,45.062,70.715,0.981,0.042,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20262328,origin_delay,180.0
origin_delay_repeated,B2,45.181,70.983,0.9797,0.0451,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20262328,origin_delay,180.0
origin_delay_repeated,B0,100.4,201.416,0.5551,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20262329,origin_delay,180.0
origin_delay_repeated,B1,45.181,70.983,0.9797,0.0451,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20262329,origin_delay,180.0
origin_delay_repeated,B2,45.067,70.856,0.9804,0.0435,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20262329,origin_delay,180.0
origin_delay_repeated,B0,99.968,201.206,0.5577,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20262330,origin_delay,180.0
origin_delay_repeated,B1,45.067,70.856,0.9804,0.0435,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20262330,origin_delay,180.0
origin_delay_repeated,B2,45.002,70.701,0.9806,0.0431,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20262330,origin_delay,180.0
origin_delay_repeated,B0,100.858,201.525,0.5526,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20262331,origin_delay,180.0
origin_delay_repeated,B1,45.002,70.701,0.9806,0.0431,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20262331,origin_delay,180.0
origin_delay_repeated,B2,44.623,70.656,0.9811,0.0425,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20262331,origin_delay,180.0
origin_delay_repeated,B0,100.555,201.427,0.5544,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20262332,origin_delay,180.0
origin_delay_repeated,B1,44.623,70.656,0.9811,0.0425,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20262332,origin_delay,180.0
origin_delay_repeated,B2,44.853,70.853,0.9805,0.0437,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20262332,origin_delay,180.0
origin_delay_repeated,B0,100.25,201.641,0.5561,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20262333,origin_delay,180.0
origin_delay_repeated,B1,44.853,70.853,0.9805,0.0437,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20262333,origin_delay,180.0
origin_delay_repeated,B2,45.232,70.652,0.979,0.0466,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20262333,origin_delay,180.0
origin_delay_repeated,B0,101.339,201.406,0.5498,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20262334,origin_delay,180.0
origin_delay_repeated,B1,45.232,70.652,0.979,0.0466,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20262334,origin_delay,180.0
origin_delay_repeated,B2,44.623,70.393,0.9829,0.0381,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20262334,origin_delay,180.0
origin_delay_repeated,B0,126.233,261.29,0.5589,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,0,20262925,origin_delay,240.0
origin_delay_repeated,B1,45.665,70.689,0.9803,0.045,1.1,0.82,0.82,0.82,240.0,3,5,3,0,20262925,origin_delay,240.0
origin_delay_repeated,B2,46.293,70.885,0.9804,0.0435,1.1,0.82,0.82,0.82,240.0,3,5,3,0,20262925,origin_delay,240.0
origin_delay_repeated,B0,128.382,261.537,0.5496,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,1,20262926,origin_delay,240.0
origin_delay_repeated,B1,46.293,70.885,0.9804,0.0435,1.1,0.82,0.82,0.82,240.0,3,5,3,1,20262926,origin_delay,240.0
origin_delay_repeated,B2,45.883,71.07,0.9812,0.0421,1.1,0.82,0.82,0.82,240.0,3,5,3,1,20262926,origin_delay,240.0
origin_delay_repeated,B0,127.736,261.147,0.5522,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,2,20262927,origin_delay,240.0
origin_delay_repeated,B1,45.883,71.07,0.9812,0.0421,1.1,0.82,0.82,0.82,240.0,3,5,3,2,20262927,origin_delay,240.0
origin_delay_repeated,B2,45.409,70.481,0.9826,0.0392,1.1,0.82,0.82,0.82,240.0,3,5,3,2,20262927,origin_delay,240.0
origin_delay_repeated,B0,128.531,261.435,0.5491,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,3,20262928,origin_delay,240.0
origin_delay_repeated,B1,45.409,70.481,0.9826,0.0392,1.1,0.82,0.82,0.82,240.0,3,5,3,3,20262928,origin_delay,240.0
origin_delay_repeated,B2,46.423,70.63,0.9797,0.0449,1.1,0.82,0.82,0.82,240.0,3,5,3,3,20262928,origin_delay,240.0
origin_delay_repeated,B0,127.553,261.471,0.5533,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,4,20262929,origin_delay,240.0
origin_delay_repeated,B1,46.423,70.63,0.9797,0.0449,1.1,0.82,0.82,0.82,240.0,3,5,3,4,20262929,origin_delay,240.0
origin_delay_repeated,B2,45.991,70.757,0.9799,0.0454,1.1,0.82,0.82,0.82,240.0,3,5,3,4,20262929,origin_delay,240.0
origin_delay_repeated,B0,128.313,261.436,0.55,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,5,20262930,origin_delay,240.0
origin_delay_repeated,B1,45.991,70.757,0.9799,0.0454,1.1,0.82,0.82,0.82,240.0,3,5,3,5,20262930,origin_delay,240.0
origin_delay_repeated,B2,45.937,70.719,0.9801,0.045,1.1,0.82,0.82,0.82,240.0,3,5,3,5,20262930,origin_delay,240.0
origin_delay_repeated,B0,126.934,261.338,0.5557,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,6,20262931,origin_delay,240.0
origin_delay_repeated,B1,45.937,70.719,0.9801,0.045,1.1,0.82,0.82,0.82,240.0,3,5,3,6,20262931,origin_delay,240.0
