scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
origin_delay_repeated,B1,10,origin_delay,320.0,320.0,0.82,0.82,0.82,1.1,3,5,3,47.8621,0.431955,0.136596,47.594371,48.129829,70.9273,0.2718,0.085951,70.758837,71.095763,0.97977,0.001099,0.000347,0.979089,0.980451,0.04523,0.002368,0.000749,0.043762,0.046698,
origin_delay_repeated,B2,10,origin_delay,320.0,320.0,0.82,0.82,0.82,1.1,3,5,3,47.9644,0.497104,0.157198,47.656292,48.272508,70.9708,0.262289,0.082943,70.808232,71.133368,0.97957,0.001171,0.00037,0.978844,0.980296,0.04558,0.002424,0.000766,0.044078,0.047082,-0.1023
es_availability_repeated,B0,10,es_availability,0.45,180.0,0.45,0.45,0.45,1.1,3,5,3,180.9353,0.350128,0.11072,180.718289,181.152311,203.5359,0.158905,0.05025,203.43741,203.63439,0.09225,0.002043,0.000646,0.090984,0.093516,0.0,0.0,0.0,0.0,0.0,
es_availability_repeated,B1,10,es_availability,0.45,180.0,0.45,0.45,0.45,1.1,3,5,3,147.9579,0.587784,0.185874,147.593588,148.322212,229.9819,0.11005,0.034801,229.91369,230.05011,0.45788,0.003265,0.001032,0.455857,0.459903,0.59575,0.003066,0.00097,0.593849,0.597651,
es_availability_repeated,B2,10,es_availability,0.45,180.0,0.45,0.45,0.45,1.1,3,5,3,147.7043,0.815526,0.257892,147.198832,148.209768,229.9475,0.102758,0.032495,229.88381,230.01119,0.4594,0.004508,0.001425,0.456606,0.462194,0.59425,0.003839,0.001214,0.591871,0.596629,0.2536
es_availability_repeated,B0,10,es_availability,0.55,180.0,0.55,0.55,0.55,1.1,3,5,3,167.9169,0.664833,0.210239,167.504832,168.328968,203.3304,0.135017,0.042696,203.246716,203.414084,0.16718,0.003857,0.00122,0.164789,0.169571,0.0,0.0,0.0,0.0,0.0,
es_availability_repeated,B1,10,es_availability,0.55,180.0,0.55,0.55,0.55,1.1,3,5,3,112.9309,0.925539,0.292681,112.357245,113.504555,228.5185,0.100332,0.031728,228.456314,228.580686,0.65751,0.005872,0.001857,0.65387,0.66115,0.40957,0.007299,0.002308,0.405046,0.414094,
es_availability_repeated,B2,10,es_availability,0.55,180.0,0.55,0.55,0.55,1.1,3,5,3,112.7023,1.105292,0.349524,112.017233,113.387367,228.5411,0.138081,0.043665,228.455517,228.626683,0.65893,0.006789,0.002147,0.654722,0.663138,0.40785,0.008001,0.00253,0.402891,0.412809,0.2286
es_availability_repeated,B0,10,es_availability,0.65,180.0,0.65,0.65,0.65,1.1,3,5,3,149.3688,0.511876,0.161869,149.051536,149.686064,202.9139,0.105232,0.033277,202.848676,202.979124,0.27377,0.002955,0.000934,0.271939,0.275601,0.0,0.0,0.0,0.0,0.0,
es_availability_repeated,B1,10,es_availability,0.65,180.0,0.65,0.65,0.65,1.1,3,5,3,80.7508,0.721001,0.228001,80.303919,81.197681,226.1827,0.179104,0.056638,226.07169,226.29371,0.82959,0.003993,0.001263,0.827115,0.832065,0.23481,0.005431,0.001717,0.231444,0.238176,
es_availability_repeated,B2,10,es_availability,0.65,180.0,0.65,0.65,0.65,1.1,3,5,3,80.8512,0.708673,0.224102,80.41196,81.29044,226.2277,0.168399,0.053252,226.123325,226.332075,0.82884,0.003965,0.001254,0.826383,0.831297,0.23598,0.005491,0.001737,0.232576,0.239384,-0.1004
es_availability_repeated,B0,10,es_availability,0.75,180.0,0.75,0.75,0.75,1.1,3,5,3,123.8752,0.895704,0.283246,123.320037,124.430363,202.1742,0.150943,0.047732,202.080645,202.267755,0.42025,0.005028,0.00159,0.417133,0.423367,0.0,0.0,0.0,0.0,0.0,
es_availability_repeated,B1,10,es_availability,0.75,180.0,0.75,0.75,0.75,1.1,3,5,3,56.9615,0.44752,0.141518,56.684124,57.238876,221.8076,0.248718,0.078651,221.653443,221.961757,0.93977,0.002372,0.00075,0.9383,0.94124,0.10395,0.004018,0.00127,0.10146,0.10644,
es_availability_repeated,B2,10,es_availability,0.75,180.0,0.75,0.75,0.75,1.1,3,5,3,56.9192,0.462381,0.146218,56.632613,57.205787,221.7906,0.241794,0.076462,221.640735,221.940465,0.93986,0.002343,0.000741,0.938408,0.941312,0.10393,0.004006,0.001267,0.101447,0.106413,0.0423
es_availability_repeated,B0,10,es_availability,0.82,180.0,0.82,0.82,0.82,1.1,3,5,3,100.649,0.953696,0.301585,100.057893,101.240107,201.3583,0.078679,0.024881,201.309534,201.407066,0.5537,0.005569,0.001761,0.550249,0.557151,0.0,0.0,0.0,0.0,0.0,
es_availability_repeated,B1,10,es_availability,0.82,180.0,0.82,0.82,0.82,1.1,3,5,3,44.8764,0.297209,0.093986,44.692188,45.060612,70.6824,0.154026,0.048707,70.586934,70.777866,0.98098,0.000925,0.000292,0.980407,0.981553,0.04242,0.002139,0.000677,0.041094,0.043746,
es_availability_repeated,B2,10,es_availability,0.82,180.0,0.82,0.82,0.82,1.1,3,5,3,44.9525,0.310034,0.098041,44.760339,45.144661,70.7091,0.143817,0.045479,70.619962,70.798238,0.9808,0.001119,0.000354,0.980107,0.981493,0.04273,0.002493,0.000788,0.041185,0.044275,-0.0761
es_availability_repeated,B0,10,es_availability,0.9,180.0,0.9,0.9,0.9,1.1,3,5,3,70.7105,0.918448,0.290439,70.14124,71.27976,199.749,0.116899,0.036967,199.676545,199.821455,0.72584,0.005231,0.001654,0.722598,0.729082,0.0,0.0,0.0,0.0,0.0,
es_availability_repeated,B1,10,es_availability,0.9,180.0,0.9,0.9,0.9,1.1,3,5,3,34.9684,0.135738,0.042924,34.884268,35.052532,67.92,0.168444,0.053267,67.815597,68.024403,0.99755,0.000704,0.000223,0.997113,0.997987,0.00891,0.002601,0.000822,0.007298,0.010522,
es_availability_repeated,B2,10,es_availability,0.9,180.0,0.9,0.9,0.9,1.1,3,5,3,34.9467,0.1396,0.044145,34.860175,35.033225,67.9127,0.172293,0.054484,67.805912,68.019488,0.9977,0.000733,0.000232,0.997245,0.998155,0.00836,0.002712,0.000858,0.006679,0.010041,0.0217
