scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
steady,B0,10,formal_scenario,steady,180.0,0.82,0.82,0.82,1.1,3,5,3,101.0823,0.647799,0.204852,100.68079,101.48381,201.4085,0.178969,0.056595,201.297574,201.519426,0.55121,0.003715,0.001175,0.548907,0.553513,0.0,0.0,0.0,0.0,0.0,
steady,B1,10,formal_scenario,steady,180.0,0.82,0.82,0.82,1.1,3,5,3,44.8589,0.367999,0.116372,44.630812,45.086988,70.7171,0.218157,0.068987,70.581885,70.852315,0.98075,0.001488,0.000471,0.979828,0.981672,0.04304,0.003115,0.000985,0.041109,0.044971,
steady,B2,10,formal_scenario,steady,180.0,0.82,0.82,0.82,1.1,3,5,3,44.8391,0.351738,0.111229,44.621091,45.057109,70.6902,0.217354,0.068733,70.555482,70.824918,0.98092,0.001357,0.000429,0.980079,0.981761,0.04264,0.002822,0.000892,0.040891,0.044389,0.0198
low_reliability_neighbor,B0,10,formal_scenario,low_reliability_neighbor,180.0,0.82,0.82,0.25,1.1,3,5,3,100.9463,1.04922,0.331793,100.295987,101.596613,201.3883,0.126936,0.040141,201.309624,201.466976,0.55217,0.00595,0.001882,0.548482,0.555858,0.0,0.0,0.0,0.0,0.0,
low_reliability_neighbor,B1,10,formal_scenario,low_reliability_neighbor,180.0,0.82,0.82,0.25,1.1,3,5,3,106.5593,1.266881,0.400623,105.774079,107.344521,229.0214,0.181198,0.0573,228.909092,229.133708,0.5959,0.005863,0.001854,0.592266,0.599534,0.89777,0.004554,0.00144,0.894948,0.900592,
low_reliability_neighbor,B2,10,formal_scenario,low_reliability_neighbor,180.0,0.82,0.82,0.25,1.1,3,5,3,100.7891,1.031123,0.32607,100.150003,101.428197,201.3767,0.092134,0.029135,201.319595,201.433805,0.55303,0.005873,0.001857,0.54939,0.55667,0.0,0.0,0.0,0.0,0.0,5.7702
origin_congestion,B0,10,formal_scenario,origin_congestion,320.0,0.82,0.82,0.82,1.1,3,5,3,163.6239,1.286891,0.406951,162.826277,164.421523,341.3924,0.130903,0.041395,341.311265,341.473535,0.55213,0.004034,0.001276,0.54963,0.55463,0.0,0.0,0.0,0.0,0.0,
origin_congestion,B1,10,formal_scenario,origin_congestion,320.0,0.82,0.82,0.82,1.1,3,5,3,47.6843,0.40294,0.127421,47.434555,47.934045,70.7355,0.168794,0.053377,70.63088,70.84012,0.98059,0.001338,0.000423,0.979761,0.981419,0.04318,0.003108,0.000983,0.041254,0.045106,
origin_congestion,B2,10,formal_scenario,origin_congestion,320.0,0.82,0.82,0.82,1.1,3,5,3,47.5801,0.319691,0.101095,47.381953,47.778247,70.7444,0.17173,0.054306,70.637961,70.850839,0.98075,0.001217,0.000385,0.979996,0.981504,0.04298,0.002975,0.000941,0.041136,0.044824,0.1042
