scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,40.0,0.9,1.1,3,5,3,34.394,0.201763,0.063803,34.268946,34.519054,67.8355,0.092402,0.02922,67.778229,67.892771,0.99786,0.000378,0.000119,0.997626,0.998094,0.00792,0.001377,0.000435,0.007067,0.008773,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,40.0,0.9,1.1,3,5,3,32.2258,0.151891,0.048032,32.131657,32.319943,59.7175,0.186115,0.058855,59.602144,59.832856,0.72899,0.004899,0.001549,0.725954,0.732026,0.0,0.0,0.0,0.0,0.0,2.1682
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,80.0,0.45,1.1,3,5,3,90.242,0.164972,0.052169,90.139749,90.344251,103.5637,0.189737,0.06,103.4461,103.6813,0.09136,0.002477,0.000783,0.089825,0.092895,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,80.0,0.45,1.1,3,5,3,93.7547,0.414618,0.131114,93.497717,94.011683,129.9146,0.102388,0.032378,129.851139,129.978061,0.45803,0.006045,0.001912,0.454283,0.461777,0.59539,0.006448,0.002039,0.591394,0.599386,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,80.0,0.45,1.1,3,5,3,90.1955,0.155306,0.049112,90.09924,90.29176,103.563,0.188726,0.05968,103.446027,103.679973,0.09193,0.002421,0.000766,0.090429,0.093431,0.0,0.0,0.0,0.0,0.0,3.5592
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,80.0,0.55,1.1,3,5,3,84.809,0.248956,0.078727,84.654696,84.963304,103.2731,0.100186,0.031682,103.211004,103.335196,0.16434,0.00335,0.001059,0.162264,0.166416,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,80.0,0.55,1.1,3,5,3,78.3593,0.22547,0.0713,78.219552,78.499048,128.4233,0.120582,0.038131,128.348563,128.498037,0.66127,0.003496,0.001106,0.659103,0.663437,0.40582,0.003964,0.001253,0.403363,0.408277,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,80.0,0.55,1.1,3,5,3,78.3565,0.230707,0.072956,78.213506,78.499494,128.4429,0.117823,0.037259,128.369872,128.515928,0.6613,0.00354,0.001119,0.659106,0.663494,0.40581,0.003975,0.001257,0.403346,0.408274,0.0028
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,80.0,0.65,1.1,3,5,3,76.7875,0.322072,0.101848,76.587878,76.987122,102.9123,0.142511,0.045066,102.823971,103.000629,0.27302,0.00433,0.001369,0.270336,0.275704,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,80.0,0.65,1.1,3,5,3,63.7489,0.437204,0.138256,63.477918,64.019882,126.2058,0.154729,0.04893,126.109898,126.301702,0.82873,0.004327,0.001368,0.826048,0.831412,0.23615,0.005524,0.001747,0.232726,0.239574,
